Wichtige Wörter zum Start
alto,groß,
giovane,jung,
macchina,Auto,la macchina
con,mit,
voi,ihr,
indirizzo,Adresse,l'indirizzo
amico,Freund,l'amico
buonasera,guten Abend,
no,nein,
si,ja,
chi?,wer?,kann auch 'wen?' bedeuten
insieme,zusammen,
ci,dort,
freddo,kalt,
donna,Frau,la donna
per favore,bitte,als Antwort: 'prego'
buongiorno,guten Morgen,
io,ich,
persona,Person,la persona
rivedersi,sich wiedersehen,
lavorare,arbeiten,
ciao,hallo,hallo und tschüss
buonanotte,gute Nacht,
e,und,
male,schlecht,
viaggio,Reise,il viaggio
caldo,warm,
tu,du,
come,wie,'Come stai?' 'Wie geht es dir?'
noi,wir,
piccolo,klein,
bello,schön,
non,nicht,
amica,Freudin,l'amica
arrivederci,auf Wiedersehen,höflicher als 'ciao'
prego,gern geschehen,unterscheide zu 'per favore'
cognome,Nachname,il cognome
bene,gut,
