Zeitangaben 1
mercoledi,Mittwoch,
mattina,Morgen,'morgens'; unterscheide zu 'domani'
febbraio,Februar,
aprile,April,
autounno,Herbst,l'autunno
luglio,Juli,
invero,Winter,l'invero
ora,Stunde,l'ora; auch 'Uhrzeit': 'A ch ora?'
mezzanotte,Mitternacht,
anno,Jahr,l'anno
sabato,Samstag,
ottobre,Oktober,
stagione,Jahreszeit,la stagione
maggio,Mai,
estate,Sommer,l'estate
primavera,Frühling,la primavera
gennaio,Januar,
mese,Monat,il mese
notte,Nacht,la notte
mezzogiorno,Mittag,auch 'mittags'
giorno,Tag,il giorno
tempo,Zeit,il tempo
domani,morgen,
martedi,Dienstag,
minuto,Minute,il minuto
venerdi,Freitag,
lunedi,Montag,
dicembre,Dezember,
pomeriggio,Nachmittag,
agosto,August,
domenica,Sonntag,
giugno,Juni,
novembre,November,
settembre,September,
sera,Abend,la sera
marzo,März,
secondo,Sekunde,il secondo
giovedi,Donnerstag,
vacanza,Ferien,la vacanza
settimana,Woche,la settimana
oggi,heute,
fine settimana,Wochenende,
calendario,Kalender,il calendario
