Familie
educare,erziehen,
genero,Schwiegersohn,il genero
battezzare,taufen,
ragazzo,Junge,il ragazzo; weibl: la ragazza
battesimo,Taufe,il battesimo
funerale,Beerdigung,il funerale
fratello,Bruder,il fratello
nonni,Großeltern,i nonni
fidanzarsi,sich verloben,
nuora,Schwiegertochter,la nuora
mafioso,Mafiamitglied,il mafioso
figlio,Sohn,il figlio; weibl: la figlia
matrimonio,Ehe,il matrimonio
suocero,Schwiegervater,il suocero; weibl: la suocera
zio,Onkel,lo zio; weibl: la zia
bambino,das Kind,il bambino; das (männliche) Kind, sonst 'bambina'
nonno,Großvater,il nonno; weibl: la nonna
adottare,adoptieren,
essere sposato,verheiratet sein,
divorziare,sich scheiden lassen,
compleanno,Geburtstag,il compleanno
cugino,Cousin,il cugino; weibl: cugina
cognato,Schwager,il cognato; weibl: la cognata
genitori,Eltern,i genitori
sorella,Schwester,la sorella
essere fidanzato,verlobt sein,
madre,Mutter,la madre
fratelli e sorelle,Geschwister,die Geschwister, also Plural
seppellire,beerdigen,
moglie,Ehefrau,la moglie
testamento,Testament,il testamento
sposare,heiraten,
famiglia,Familie,la famiglia
mafia,Mafia,la mafia
membro della famiglia,Familienmitglied,il membro della famiglia
nipote,Enkel,il nipote; weibl: la nipote
padre,Vater,il padre
educazione,Erziehung,la educazione
marito,Ehemann,il marito
